Player,Country,Position,DOB,Age,Club
Tim Ream (captain),United States,DF,1987-10-05,38,Charlotte FC
Sebastian Berhalter,United States,MF,2001-05-10,25,Vancouver Whitecaps FC
Cristian Roldan,United States,MF,1995-06-03,31,Seattle Sounders FC
Alex Freeman,United States,DF,2004-08-09,21,Villarreal
Malik Tillman,United States,MF,2002-05-28,24,Bayer Leverkusen
Max Arfsten,United States,DF,2001-04-19,25,Columbus Crew
Haji Wright,United States,FW,1998-03-27,28,Coventry City
Folarin Balogun,United States,FW,2001-07-03,24,Monaco
Timothy Weah,United States,FW,2000-02-22,26,Marseille
Mark McKenzie,United States,DF,1999-02-25,27,Toulouse
Joe Scally,United States,DF,2002-12-31,23,Borussia Mönchengladbach
Matt Freese,United States,GK,1998-09-02,27,New York City FC
Chris Brady,United States,GK,2004-03-03,22,Chicago Fire FC
Alejandro Zendejas,United States,FW,1998-02-07,28,América
Eloy Room,Curaçao,GK,1989-02-06,37,Miami FC
Shurandy Sambo,Curaçao,DF,2001-08-19,24,Sparta Rotterdam
Juriën Gaari,Curaçao,DF,1993-12-23,32,Abha
Roshon van Eijma,Curaçao,DF,1998-06-09,28,RKC Waalwijk
Sherel Floranus,Curaçao,DF,1998-08-23,27,PEC Zwolle
Godfried Roemeratoe,Curaçao,MF,1999-08-19,26,RKC Waalwijk
Juninho Bacuna,Curaçao,MF,1997-08-07,28,Volendam
Livano Comenencia,Curaçao,MF,2004-02-03,22,Zürich
Jürgen Locadia,Curaçao,FW,1993-11-07,32,Miami FC
Leandro Bacuna (captain),Curaçao,MF,1991-08-21,34,Iğdır
Jeremy Antonisse,Curaçao,FW,2002-03-29,24,Kifisia
Sontje Hansen,Curaçao,FW,2002-05-18,24,Middlesbrough
Tyrese Noslin,Curaçao,FW,2002-09-11,23,Telstar
Kenji Gorré,Curaçao,FW,1994-09-29,31,Maccabi Haifa
Ar'jany Martha,Curaçao,MF,2003-09-04,22,Rotherham United
Jearl Margaritha,Curaçao,FW,2000-04-10,26,Beveren
Brandley Kuwas,Curaçao,FW,1992-09-19,33,Volendam
Armando Obispo,Curaçao,DF,1999-03-05,27,PSV Eindhoven
Gervane Kastaneer,Curaçao,FW,1996-06-09,30,Terengganu
Joshua Brenet,Curaçao,DF,1994-03-20,32,Kayserispor
Tahith Chong,Curaçao,MF,1999-12-04,26,Sheffield United
Kevin Felida,Curaçao,MF,1999-11-11,26,Den Bosch
Riechedly Bazoer,Curaçao,DF,1996-10-12,29,Konyaspor
Deveron Fonville,Curaçao,DF,2003-05-16,23,NEC
Tyrick Bodak,Curaçao,GK,2002-05-15,24,Telstar
Trevor Doornbusch,Curaçao,GK,1999-07-06,26,VVV-Venlo
Hernán Galíndez,Ecuador,GK,1987-03-30,39,Huracán
Félix Torres,Ecuador,DF,1997-01-11,29,Internacional
Piero Hincapié,Ecuador,DF,2002-01-09,24,Arsenal
Joel Ordóñez,Ecuador,DF,2004-04-21,22,Club Brugge
Jordy Alcívar,Ecuador,MF,1999-08-05,26,Independiente del Valle
Willian Pacho,Ecuador,DF,2001-10-16,24,Paris Saint-Germain
Pervis Estupiñán,Ecuador,DF,1998-01-21,28,Milan
Anthony Valencia,Ecuador,MF,2003-07-21,22,Antwerp
John Yeboah,Ecuador,FW,2000-06-23,25,Venezia
Kendry Páez,Ecuador,MF,2007-05-04,19,River Plate
Kevin Rodríguez,Ecuador,FW,2000-03-04,26,Union Saint-Gilloise
Moisés Ramírez,Ecuador,GK,2000-09-09,25,Kifisia
Enner Valencia (captain),Ecuador,FW,1989-11-04,36,Pachuca
Alan Minda,Ecuador,MF,2003-05-14,23,Atlético Mineiro
Pedro Vite,Ecuador,MF,2002-03-09,24,Pumas UNAM
Jordy Caicedo,Ecuador,FW,1997-11-18,28,Huracán
Ángelo Preciado,Ecuador,DF,1998-02-18,28,Atlético Mineiro
Denil Castillo,Ecuador,MF,2004-03-24,22,Midtjylland
Gonzalo Plata,Ecuador,FW,2000-11-01,25,Flamengo
Nilson Angulo,Ecuador,FW,2003-06-19,22,Sunderland
Alan Franco,Ecuador,MF,1998-08-21,27,Atlético Mineiro
Gonzalo Valle,Ecuador,GK,1996-02-28,30,LDU Quito
Moisés Caicedo,Ecuador,MF,2001-11-02,24,Chelsea
Jeremy Arévalo,Ecuador,FW,2005-03-19,21,VfB Stuttgart
Jackson Porozo,Ecuador,DF,2000-08-04,25,Tijuana
Yaimar Medina,Ecuador,DF,2004-11-05,21,Genk
Manuel Neuer,Germany,GK,1986-03-27,40,Bayern Munich
Antonio Rüdiger,Germany,DF,1993-03-03,33,Real Madrid
Waldemar Anton,Germany,DF,1996-07-20,29,Borussia Dortmund
Jonathan Tah,Germany,DF,1996-02-11,30,Bayern Munich
Aleksandar Pavlović,Germany,MF,2004-05-03,22,Bayern Munich
Joshua Kimmich (captain),Germany,DF,1995-02-08,31,Bayern Munich
Kai Havertz,Germany,FW,1999-06-11,27,Arsenal
Leon Goretzka,Germany,MF,1995-02-06,31,Bayern Munich
Jamie Leweling,Germany,MF,2001-02-26,25,VfB Stuttgart
Jamal Musiala,Germany,MF,2003-02-26,23,Bayern Munich
Nick Woltemade,Germany,FW,2002-02-14,24,Newcastle United
Oliver Baumann,Germany,GK,1990-06-02,36,TSG Hoffenheim
Pascal Groß,Germany,MF,1991-06-15,34,Brighton & Hove Albion
Maximilian Beier,Germany,FW,2002-10-17,23,Borussia Dortmund
Nico Schlotterbeck,Germany,DF,1999-12-01,26,Borussia Dortmund
Angelo Stiller,Germany,MF,2001-04-04,25,VfB Stuttgart
Florian Wirtz,Germany,MF,2003-05-03,23,Liverpool
Nathaniel Brown,Germany,DF,2003-06-16,22,Eintracht Frankfurt
Leroy Sané,Germany,MF,1996-01-11,30,Galatasaray
Nadiem Amiri,Germany,MF,1996-10-27,29,Mainz 05
Alexander Nübel,Germany,GK,1996-09-30,29,VfB Stuttgart
David Raum,Germany,DF,1998-04-22,28,RB Leipzig
Felix Nmecha,Germany,MF,2000-10-10,25,Borussia Dortmund
Malick Thiaw,Germany,DF,2001-08-08,24,Newcastle United
Assan Ouédraogo,Germany,MF,2006-05-09,20,RB Leipzig
Deniz Undav,Germany,FW,1996-07-19,29,VfB Stuttgart
Yahia Fofana,Ivory Coast,GK,2000-08-21,25,Çaykur Rizespor
Ousmane Diomande,Ivory Coast,DF,2003-12-04,22,Sporting CP
Ghislain Konan,Ivory Coast,DF,1995-12-27,30,Gil Vicente
Jean Michaël Seri,Ivory Coast,MF,1991-07-19,34,Maribor
Wilfried Singo,Ivory Coast,DF,2000-12-25,25,Galatasaray
Seko Fofana,Ivory Coast,MF,1995-05-07,31,Porto
Odilon Kossounou,Ivory Coast,DF,2001-01-04,25,Atalanta
Franck Kessié (captain),Ivory Coast,MF,1996-12-19,29,Al-Ahli
Ange-Yoan Bonny,Ivory Coast,FW,2003-10-25,22,Inter Milan
Simon Adingra,Ivory Coast,FW,2002-01-01,24,Monaco
Yan Diomande,Ivory Coast,FW,2006-11-14,19,RB Leipzig
Elye Wahi,Ivory Coast,FW,2003-01-02,23,Nice
Christopher Opéri,Ivory Coast,DF,1997-04-29,29,İstanbul Başakşehir
Oumar Diakité,Ivory Coast,FW,2003-12-20,22,Cercle Brugge
Amad Diallo,Ivory Coast,FW,2002-07-11,23,Manchester United
Mohamed Koné,Ivory Coast,GK,2002-03-07,24,Charleroi
Guéla Doué,Ivory Coast,DF,2002-10-17,23,Strasbourg
Ibrahim Sangaré,Ivory Coast,MF,1997-12-02,28,Nottingham Forest
Nicolas Pépé,Ivory Coast,FW,1995-05-29,31,Villarreal
Emmanuel Agbadou,Ivory Coast,DF,1997-06-17,28,Beşiktaş
Evan Ndicka,Ivory Coast,DF,1999-08-20,26,Roma
Evann Guessand,Ivory Coast,FW,2001-07-01,24,Crystal Palace
Alban Lafont,Ivory Coast,GK,1999-01-23,27,Panathinaikos
Bazoumana Touré,Ivory Coast,FW,2006-03-02,20,TSG Hoffenheim
Parfait Guiagon,Ivory Coast,MF,2001-02-22,25,Charleroi
Christ Inao Oulaï,Ivory Coast,MF,2006-04-06,20,Trabzonspor
Zion Suzuki,Japan,GK,2002-08-21,23,Parma
Yukinari Sugawara,Japan,DF,2000-06-28,25,Werder Bremen
Shōgo Taniguchi,Japan,DF,1991-07-15,34,Sint-Truiden
Kō Itakura (captain),Japan,DF,1997-01-27,29,Ajax
Yūto Nagatomo,Japan,DF,1986-09-12,39,FC Tokyo
Shūto Machino,Japan,FW,1999-09-30,26,Borussia Mönchengladbach
Ao Tanaka,Japan,MF,1998-09-10,27,Leeds United
Takefusa Kubo,Japan,MF,2001-06-04,25,Real Sociedad
Keisuke Gotō,Japan,FW,2005-06-03,21,Sint-Truiden
Ritsu Dōan,Japan,MF,1998-06-16,27,Eintracht Frankfurt
Daizen Maeda,Japan,MF,1997-10-20,28,Celtic
Keisuke Ōsako,Japan,GK,1999-07-28,26,Sanfrecce Hiroshima
Keito Nakamura,Japan,MF,2000-07-28,25,Reims
Junya Itō,Japan,MF,1993-03-09,33,Genk
Daichi Kamada,Japan,MF,1996-08-05,29,Crystal Palace
Tsuyoshi Watanabe,Japan,DF,1997-02-05,29,Feyenoord
Yuito Suzuki,Japan,MF,2001-10-25,24,SC Freiburg
Ayase Ueda,Japan,FW,1998-08-28,27,Feyenoord
Kōki Ogawa,Japan,FW,1997-08-08,28,NEC
Ayumu Seko,Japan,DF,2000-06-07,26,Le Havre
Hiroki Itō,Japan,DF,1999-05-12,27,Bayern Munich
Takehiro Tomiyasu,Japan,DF,1998-11-05,27,Ajax
Tomoki Hayakawa,Japan,GK,1999-03-03,27,Kashima Antlers
Kaishū Sano,Japan,MF,2000-12-30,25,Mainz 05
Junnosuke Suzuki,Japan,DF,2003-07-12,22,Copenhagen
Kento Shiogai,Japan,FW,2005-03-26,21,VfL Wolfsburg
Bart Verbruggen,Netherlands,GK,2002-08-18,23,Brighton & Hove Albion
Lutsharel Geertruida,Netherlands,DF,2000-07-18,25,Sunderland
Marten de Roon,Netherlands,MF,1991-03-29,35,Atalanta
Virgil van Dijk (captain),Netherlands,DF,1991-07-08,34,Liverpool
Nathan Aké,Netherlands,DF,1995-02-18,31,Manchester City
Jan Paul van Hecke,Netherlands,DF,2000-06-08,26,Brighton & Hove Albion
Justin Kluivert,Netherlands,MF,1999-05-05,27,Bournemouth
Ryan Gravenberch,Netherlands,MF,2002-05-16,24,Liverpool
Wout Weghorst,Netherlands,FW,1992-08-07,33,Ajax
Memphis Depay,Netherlands,FW,1994-02-13,32,Corinthians
Cody Gakpo,Netherlands,FW,1999-05-07,27,Liverpool
Mats Wieffer,Netherlands,DF,1999-11-16,26,Brighton & Hove Albion
Robin Roefs,Netherlands,GK,2003-01-17,23,Sunderland
Tijjani Reijnders,Netherlands,MF,1998-07-29,27,Manchester City
Micky van de Ven,Netherlands,DF,2001-04-19,25,Tottenham Hotspur
Guus Til,Netherlands,MF,1997-12-22,28,PSV Eindhoven
Noa Lang,Netherlands,FW,1999-06-17,26,Galatasaray
Donyell Malen,Netherlands,FW,1999-01-19,27,Roma
Brian Brobbey,Netherlands,FW,2002-02-01,24,Sunderland
Teun Koopmeiners,Netherlands,MF,1998-02-28,28,Juventus
Frenkie de Jong,Netherlands,MF,1997-05-12,29,Barcelona
Denzel Dumfries,Netherlands,DF,1996-04-18,30,Inter Milan
Mark Flekken,Netherlands,GK,1993-06-13,32,Bayer Leverkusen
Crysencio Summerville,Netherlands,FW,2001-10-30,24,West Ham United
Jorrel Hato,Netherlands,DF,2006-03-07,20,Chelsea
Quinten Timber,Netherlands,MF,2001-06-17,24,Marseille
Jacob Widell Zetterström,Sweden,GK,1998-07-11,27,Derby County
Gustaf Lagerbielke,Sweden,DF,2000-04-10,26,Braga
Victor Lindelöf (captain),Sweden,DF,1994-07-17,31,Aston Villa
Isak Hien,Sweden,DF,1999-01-13,27,Atalanta
Gabriel Gudmundsson,Sweden,DF,1999-04-29,27,Leeds United
Herman Johansson,Sweden,DF,1997-10-16,28,FC Dallas
Lucas Bergvall,Sweden,MF,2006-02-02,20,Tottenham Hotspur
Daniel Svensson,Sweden,DF,2002-02-12,24,Borussia Dortmund
Alexander Isak,Sweden,FW,1999-09-21,26,Liverpool
Benjamin Nygren,Sweden,MF,2001-07-08,24,Celtic
Anthony Elanga,Sweden,FW,2002-04-27,24,Newcastle United
Viktor Johansson,Sweden,GK,1998-09-14,27,Stoke City
Ken Sema,Sweden,MF,1993-09-30,32,Pafos
Hjalmar Ekdal,Sweden,DF,1998-10-21,27,Burnley
Carl Starfelt,Sweden,DF,1995-06-01,31,Celta Vigo
Jesper Karlström,Sweden,MF,1995-06-21,30,Udinese
Viktor Gyökeres,Sweden,FW,1998-06-04,28,Arsenal
Yasin Ayari,Sweden,MF,2003-10-06,22,Brighton & Hove Albion
Mattias Svanberg,Sweden,MF,1999-01-05,27,VfL Wolfsburg
Eric Smith,Sweden,DF,1997-01-08,29,FC St. Pauli
Alexander Bernhardsson,Sweden,DF,1998-09-08,27,Holstein Kiel
Besfort Zeneli,Sweden,MF,2002-11-21,23,Union Saint-Gilloise
Kristoffer Nordfeldt,Sweden,GK,1989-06-23,36,AIK
Elliot Stroud,Sweden,DF,2002-06-22,23,Mjällby AIF
Gustaf Nilsson,Sweden,FW,1997-05-23,29,Club Brugge
Taha Ali,Sweden,FW,1998-07-01,27,Malmö FF
Mouhib Chamakh,Tunisia,GK,2001-08-25,24,Club Africain
Ali Abdi,Tunisia,DF,1993-12-20,32,Nice
Montassar Talbi,Tunisia,DF,1998-05-26,28,Lorient
Omar Rekik,Tunisia,DF,2001-12-20,24,Maribor
Adem Arous,Tunisia,DF,2004-07-17,21,Kasımpaşa
Dylan Bronn,Tunisia,DF,1995-06-19,30,Servette
Elias Achouri,Tunisia,FW,1999-02-10,27,Copenhagen
Elias Saad,Tunisia,FW,1999-12-27,26,Hannover 96
Hazem Mastouri,Tunisia,FW,1997-06-18,28,Dynamo Makhachkala
Hannibal Mejbri,Tunisia,MF,2003-01-21,23,Burnley
Ismaël Gharbi,Tunisia,MF,2004-04-10,22,FC Augsburg
Mortadha Ben Ouanes,Tunisia,DF,1994-07-02,31,Kasımpaşa
Rani Khedira,Tunisia,MF,1994-01-27,32,Union Berlin
Khalil Ayari,Tunisia,MF,2005-02-02,21,Paris Saint-Germain
Hadj Mahmoud,Tunisia,MF,2000-04-24,26,Lugano
Aymen Dahmen,Tunisia,GK,1997-01-28,29,CS Sfaxien
Ellyes Skhiri (captain),Tunisia,MF,1995-05-10,31,Eintracht Frankfurt
Rayan Elloumi,Tunisia,FW,2007-09-17,18,Vancouver Whitecaps FC
Firas Chaouat,Tunisia,FW,1996-05-08,30,Club Africain
Yan Valery,Tunisia,DF,1999-02-22,27,Young Boys
Mohamed Amine Ben Hamida,Tunisia,DF,1995-12-15,30,Espérance de Tunis
Sabri Ben Hessen,Tunisia,GK,1996-06-13,29,Étoile du Sahel
Moutaz Neffati,Tunisia,DF,2004-09-04,21,IFK Norrköping
Raed Chikhaoui,Tunisia,DF,2004-06-09,22,US Monastir
Anis Ben Slimane,Tunisia,MF,2001-03-16,25,Norwich City
Sebastian Tounekti,Tunisia,MF,2002-07-13,23,Celtic
Thibaut Courtois,Belgium,GK,1992-05-11,34,Real Madrid
Zeno Debast,Belgium,DF,2003-10-24,22,Sporting CP
Arthur Theate,Belgium,DF,2000-05-25,26,Eintracht Frankfurt
Brandon Mechele,Belgium,DF,1993-01-28,33,Club Brugge
Maxim De Cuyper,Belgium,DF,2000-12-22,25,Brighton & Hove Albion
Axel Witsel,Belgium,MF,1989-01-12,37,Girona
Kevin De Bruyne,Belgium,MF,1991-06-28,34,Napoli
Youri Tielemans (captain),Belgium,MF,1997-05-07,29,Aston Villa
Romelu Lukaku,Belgium,FW,1993-05-13,33,Napoli
Leandro Trossard,Belgium,FW,1994-12-04,31,Arsenal
Jérémy Doku,Belgium,FW,2002-05-27,24,Manchester City
Senne Lammens,Belgium,GK,2002-07-07,23,Manchester United
Mike Penders,Belgium,GK,2005-07-31,20,Strasbourg
Dodi Lukébakio,Belgium,FW,1997-09-24,28,Benfica
Thomas Meunier,Belgium,DF,1991-09-12,34,Lille
Koni De Winter,Belgium,DF,2002-06-12,23,Milan
Charles De Ketelaere,Belgium,FW,2001-03-10,25,Atalanta
Joaquin Seys,Belgium,DF,2005-03-28,21,Club Brugge
Diego Moreira,Belgium,MF,2004-08-06,21,Strasbourg
Hans Vanaken,Belgium,MF,1992-08-24,33,Club Brugge
Timothy Castagne,Belgium,DF,1995-12-05,30,Fulham
Alexis Saelemaekers,Belgium,MF,1999-06-27,26,Milan
Nicolas Raskin,Belgium,MF,2001-02-23,25,Rangers
Amadou Onana,Belgium,MF,2001-08-16,24,Aston Villa
Nathan Ngoy,Belgium,DF,2003-06-10,23,Lille
Matias Fernandez-Pardo,Belgium,FW,2005-02-03,21,Lille
Mohamed El Shenawy,Egypt,GK,1988-12-18,37,Al Ahly
Yasser Ibrahim,Egypt,DF,1993-02-10,33,Al Ahly
Mohamed Hany,Egypt,DF,1996-02-02,30,Al Ahly
Hossam Abdelmaguid,Egypt,DF,2001-04-30,25,Zamalek
Ramy Rabia,Egypt,DF,1993-05-20,33,Al Ain
Mohamed Abdelmonem,Egypt,DF,1999-02-01,27,Nice
Trézéguet,Egypt,FW,1994-10-01,31,Al Ahly
Emam Ashour,Egypt,MF,1998-02-20,28,Al Ahly
Hamza Abdelkarim,Egypt,FW,2008-01-01,18,Barcelona B
Mohamed Salah (captain),Egypt,FW,1992-06-15,33,Liverpool
Mostafa Ziko,Egypt,MF,1997-04-27,29,Pyramids
Haissem Hassan,Egypt,FW,2002-02-08,24,Oviedo
Ahmed Fatouh,Egypt,DF,1998-03-22,28,Zamalek
Hamdy Fathy,Egypt,MF,1994-09-29,31,Al-Wakrah
Karim Hafez,Egypt,DF,1996-03-12,30,Pyramids
El Mahdy Soliman,Egypt,GK,1987-06-08,39,Zamalek
Mohanad Lasheen,Egypt,MF,1996-05-29,30,Pyramids
Nabil Emad,Egypt,MF,1996-04-06,30,Al-Najma
Marwan Attia,Egypt,MF,1998-08-01,27,Al Ahly
Ibrahim Adel,Egypt,FW,2001-04-23,25,Nordsjælland
Mahmoud Saber,Egypt,MF,2001-07-30,24,ZED
Omar Marmoush,Egypt,FW,1999-02-07,27,Manchester City
Mostafa Shobeir,Egypt,GK,2000-05-15,26,Al Ahly
Tarek Alaa,Egypt,DF,2002-01-05,24,ZED
Zizo,Egypt,FW,1996-01-10,30,Al Ahly
Mohamed Alaa,Egypt,GK,1999-01-01,27,El Gouna
Alireza Beiranvand,Iran,GK,1992-09-21,33,Tractor
Saleh Hardani,Iran,DF,1998-12-26,27,Esteghlal
Ehsan Hajsafi (captain),Iran,DF,1990-02-25,36,Sepahan
Shojae Khalilzadeh,Iran,DF,1989-05-14,37,Tractor
Milad Mohammadi,Iran,DF,1993-09-29,32,Persepolis
Saeid Ezatolahi,Iran,MF,1996-10-01,29,Shabab Al Ahli
Alireza Jahanbakhsh,Iran,MF,1993-08-11,32,Dender
Mohammad Mohebi,Iran,MF,1998-12-20,27,Rostov
Mehdi Taremi,Iran,FW,1992-07-18,33,Olympiacos
Mehdi Ghayedi,Iran,FW,1998-12-05,27,Al Nasr
Ali Alipour,Iran,FW,1995-11-11,30,Persepolis
Payam Niazmand,Iran,GK,1995-04-06,31,Persepolis
Hossein Kanaanizadegan,Iran,DF,1994-03-23,32,Persepolis
Saman Ghoddos,Iran,MF,1993-09-06,32,Kalba
Rouzbeh Cheshmi,Iran,MF,1993-07-24,32,Esteghlal
Mahdi Torabi,Iran,MF,1994-09-10,31,Tractor
Arya Yousefi,Iran,DF,2002-04-22,24,Sepahan
Amirhossein Hosseinzadeh,Iran,FW,2000-10-30,25,Tractor
Ali Nemati,Iran,DF,1996-02-08,30,Foolad
Shahriyar Moghanlou,Iran,FW,1994-12-21,31,Kalba
Mohammad Ghorbani,Iran,MF,2001-10-07,24,Al Wahda
Hossein Hosseini,Iran,GK,1992-06-30,33,Sepahan
Ramin Rezaeian,Iran,DF,1990-03-21,36,Foolad
Dennis Eckert,Iran,FW,1997-01-09,29,Standard Liège
Danial Eiri,Iran,DF,2003-10-26,22,Malavan
Amirmohammad Razzaghinia,Iran,MF,2006-04-11,20,Esteghlal
Max Crocombe,New Zealand,GK,1993-08-12,32,Millwall
Tim Payne,New Zealand,DF,1994-01-10,32,Wellington Phoenix
Francis de Vries,New Zealand,DF,1994-11-28,31,Auckland FC
Tyler Bindon,New Zealand,DF,2005-01-27,21,Sheffield United
Michael Boxall,New Zealand,DF,1988-08-18,37,Minnesota United FC
Joe Bell,New Zealand,MF,1999-04-27,27,Viking
Logan Rogerson,New Zealand,FW,1998-05-28,28,Auckland FC
Marko Stamenić,New Zealand,MF,2002-02-19,24,Swansea City
Chris Wood (captain),New Zealand,FW,1991-12-07,34,Nottingham Forest
Sarpreet Singh,New Zealand,MF,1999-02-20,27,Wellington Phoenix
Elijah Just,New Zealand,MF,2000-05-01,26,Motherwell
Alex Paulsen,New Zealand,GK,2002-07-04,23,Lechia Gdańsk
Liberato Cacace,New Zealand,DF,2000-09-27,25,Wrexham
Alex Rufer,New Zealand,MF,1996-06-12,29,Wellington Phoenix
Nando Pijnaker,New Zealand,DF,1999-02-25,27,Auckland FC
Finn Surman,New Zealand,DF,2003-09-23,22,Portland Timbers
Kosta Barbarouses,New Zealand,FW,1990-02-19,36,Western Sydney Wanderers
Ben Waine,New Zealand,FW,2001-06-11,25,Port Vale
Ben Old,New Zealand,MF,2002-08-13,23,Saint-Étienne
Callum McCowatt,New Zealand,MF,1999-04-30,27,Silkeborg
Jesse Randall,New Zealand,FW,2002-08-19,23,Auckland FC
Michael Woud,New Zealand,GK,1999-01-16,27,Auckland FC
Ryan Thomas,New Zealand,MF,1994-12-20,31,PEC Zwolle
Callan Elliot,New Zealand,DF,1999-07-07,26,Auckland FC
Lachlan Bayliss,New Zealand,MF,2002-07-24,23,Newcastle Jets
Tommy Smith,New Zealand,DF,1990-03-31,36,Braintree Town
Vozinha,Cape Verde,GK,1986-06-03,40,Chaves
Stopira,Cape Verde,DF,1988-05-20,38,Torreense
Diney,Cape Verde,DF,1995-01-17,31,Al Bataeh
Pico,Cape Verde,DF,1992-06-17,33,Shamrock Rovers
Logan Costa,Cape Verde,DF,2001-04-01,25,Villarreal
Kevin Pina,Cape Verde,MF,1997-01-27,29,Krasnodar
Jovane Cabral,Cape Verde,MF,1998-06-14,27,Estrela Amadora
João Paulo,Cape Verde,MF,1998-05-26,28,FCSB
Gilson Benchimol,Cape Verde,FW,2001-12-29,24,Akron Tolyatti
Jamiro Monteiro,Cape Verde,MF,1993-11-23,32,PEC Zwolle
Garry Rodrigues,Cape Verde,MF,1990-11-27,35,Apollon Limassol
Márcio Rosa,Cape Verde,GK,1997-02-23,29,Montana
Sidny Lopes Cabral,Cape Verde,DF,2002-09-18,23,Benfica
Deroy Duarte,Cape Verde,MF,1999-07-04,26,Ludogorets Razgrad
Laros Duarte,Cape Verde,MF,1997-02-28,29,Puskás Akadémia
Yannick Semedo,Cape Verde,MF,1995-12-29,30,Farense
Willy Semedo,Cape Verde,MF,1994-04-27,32,Omonia
Telmo Arcanjo,Cape Verde,MF,2001-06-21,24,Vitória de Guimarães
Dailon Livramento,Cape Verde,FW,2001-05-04,25,Casa Pia
Ryan Mendes (captain),Cape Verde,FW,1990-01-08,36,Iğdır
Nuno da Costa,Cape Verde,MF,1991-02-10,35,İstanbul Başakşehir
Steven Moreira,Cape Verde,DF,1994-08-13,31,Columbus Crew
CJ dos Santos,Cape Verde,GK,2000-08-24,25,San Diego FC
Wagner Pina,Cape Verde,DF,2002-11-03,23,Trabzonspor
Kelvin Pires,Cape Verde,DF,2000-06-05,26,SJK
Hélio Varela,Cape Verde,MF,2002-05-03,24,Maccabi Tel Aviv
Nawaf Al-Aqidi,Saudi Arabia,GK,2000-05-10,26,Al-Nassr
Ali Majrashi,Saudi Arabia,DF,1999-10-02,26,Al-Ahli
Ali Lajami,Saudi Arabia,DF,1996-04-24,30,Al-Hilal
Abdulelah Al-Amri,Saudi Arabia,DF,1997-01-15,29,Al-Nassr
Hassan Al-Tambakti,Saudi Arabia,DF,1999-02-09,27,Al-Hilal
Nasser Al-Dawsari,Saudi Arabia,MF,1998-12-19,27,Al-Hilal
Musab Al-Juwayr,Saudi Arabia,MF,2003-06-20,22,Al-Qadsiah
Ayman Yahya,Saudi Arabia,FW,2001-05-14,25,Al-Nassr
Firas Al-Buraikan,Saudi Arabia,FW,2000-05-14,26,Al-Ahli
Salem Al-Dawsari (captain),Saudi Arabia,FW,1991-08-19,34,Al-Hilal
Saleh Al-Shehri,Saudi Arabia,FW,1993-11-01,32,Al-Ittihad
Saud Abdulhamid,Saudi Arabia,DF,1999-07-18,26,Lens
Nawaf Boushal,Saudi Arabia,DF,1999-09-16,26,Al-Nassr
Hassan Kadesh,Saudi Arabia,DF,1992-09-26,33,Al-Ittihad
Abdullah Al-Khaibari,Saudi Arabia,MF,1996-08-16,29,Al-Nassr
Ziyad Al-Johani,Saudi Arabia,MF,2001-11-11,24,Al-Ahli
Khalid Al-Ghannam,Saudi Arabia,FW,2000-11-08,25,Al-Ettifaq
Alaa Al-Hejji,Saudi Arabia,MF,1995-12-03,30,Neom
Abdullah Al-Hamdan,Saudi Arabia,FW,1999-09-13,26,Al-Nassr
Sultan Mandash,Saudi Arabia,FW,1994-10-17,31,Al-Hilal
Mohammed Al-Owais,Saudi Arabia,GK,1991-10-10,34,Al-Ula
Ahmed Al-Kassar,Saudi Arabia,GK,1991-05-08,35,Al-Qadsiah
Mohamed Kanno,Saudi Arabia,MF,1994-09-22,31,Al-Hilal
Moteb Al-Harbi,Saudi Arabia,DF,2000-02-20,26,Al-Hilal
Jehad Thakri,Saudi Arabia,DF,2001-07-21,24,Al-Qadsiah
Mohammed Abu Al-Shamat,Saudi Arabia,DF,2002-08-11,23,Al-Qadsiah
David Raya,Spain,GK,1995-09-15,30,Arsenal
Marc Pubill,Spain,DF,2003-06-20,22,Atlético Madrid
Álex Grimaldo,Spain,DF,1995-09-20,30,Bayer Leverkusen
Eric García,Spain,DF,2001-01-09,25,Barcelona
Marcos Llorente,Spain,DF,1995-01-30,31,Atlético Madrid
Mikel Merino,Spain,MF,1996-06-22,29,Arsenal
Ferran Torres,Spain,FW,2000-02-29,26,Barcelona
Fabián Ruiz,Spain,MF,1996-04-03,30,Paris Saint-Germain
Gavi,Spain,MF,2004-08-05,21,Barcelona
Dani Olmo,Spain,FW,1998-05-07,28,Barcelona
Yéremy Pino,Spain,FW,2002-10-20,23,Crystal Palace
Pedro Porro,Spain,DF,1999-09-13,26,Tottenham Hotspur
Joan Garcia,Spain,GK,2001-05-04,25,Barcelona
Aymeric Laporte,Spain,DF,1994-05-27,32,Athletic Bilbao
Álex Baena,Spain,MF,2001-07-20,24,Atlético Madrid
Rodri (captain),Spain,MF,1996-06-22,29,Manchester City
Nico Williams,Spain,FW,2002-07-12,23,Athletic Bilbao
Martín Zubimendi,Spain,MF,1999-02-02,27,Arsenal
Lamine Yamal,Spain,FW,2007-07-13,18,Barcelona
Pedri,Spain,MF,2002-11-25,23,Barcelona
Mikel Oyarzabal,Spain,FW,1997-04-21,29,Real Sociedad
Pau Cubarsí,Spain,DF,2007-01-22,19,Barcelona
Unai Simón,Spain,GK,1997-06-11,29,Athletic Bilbao
Marc Cucurella,Spain,DF,1998-07-22,27,Chelsea
Víctor Muñoz,Spain,FW,2003-07-13,22,Osasuna
Borja Iglesias,Spain,FW,1993-01-17,33,Celta Vigo
Sergio Rochet,Uruguay,GK,1993-03-23,33,Internacional
